import time: self [us] | cumulative | imported package
import time:     20522 |      20522 |                         pandas.core.indexes.range
import time:     25367 |      25367 |                           pandas.core.tools
import time:    317597 |     342964 |                         pandas.core.tools.timedeltas
import time:    542815 |     906300 |                       pandas.core.indexes.datetimelike
import time:     28367 |      28367 |                       pandas.core.tools.times
import time:    537945 |    1472611 |                     pandas.core.indexes.datetimes
import time:     33161 |      33161 |                       pandas.core.indexes.multi
import time:     49377 |      49377 |                       pandas.core.indexes.timedeltas
import time:    787456 |     869993 |                     pandas.core.indexes.interval
import time:     32049 |      32049 |                     pandas.core.indexes.period
import time:   1735435 |    6437774 |                   pandas.core.indexes.api
import time:    578299 |    7033592 |                 pandas.core.indexing
import time:     22742 |      22742 |                 pandas.core.sample
import time:     25331 |      25331 |                 pandas.core.array_algos.replace
import time:     22519 |      22519 |                     pandas.core.internals.blocks
import time:    316288 |     338806 |                   pandas.core.internals.api
import time:     20840 |      20840 |                     pandas.core.internals.base
import time:     42171 |      42171 |                       pandas.core.internals.ops
import time:    222232 |     264403 |                     pandas.core.internals.managers
import time:    491807 |     777050 |                   pandas.core.internals.array_manager
import time:     20808 |      20808 |                   pandas.core.internals.concat
import time:    748122 |    1884784 |                 pandas.core.internals
import time:     20089 |      20089 |                 pandas.core.internals.construction
import time:     22966 |      22966 |                   pandas.core.methods
import time:     26775 |      26775 |                     pandas.core.reshape
import time:    332049 |     358823 |                   pandas.core.reshape.concat
import time:      6381 |       6381 |                       gzip
import time:       480 |        480 |                       mmap
import time:     21871 |      21871 |                         pwd
import time:     23003 |      23003 |                         grp
import time:    323242 |     368114 |                       tarfile
import time:     23894 |      23894 |                       pandas.core.shared_docs
import time:    731118 |    1129985 |                     pandas.io.common
import time:    336198 |    1466183 |                   pandas.io.formats.format
import time:    595289 |    2443260 |                 pandas.core.methods.describe
import time:     25185 |      25185 |                       pandas._libs.window
import time:    216197 |     241382 |                     pandas._libs.window.aggregations
import time:     26425 |      26425 |                       pandas._libs.window.indexers
import time:    222567 |     248992 |                     pandas.core.indexers.objects
import time:     18554 |      18554 |                     pandas.core.util.numba_
import time:     22199 |      22199 |                     pandas.core.window.common
import time:     30702 |      30702 |                     pandas.core.window.doc
import time:     21725 |      21725 |                     pandas.core.window.numba_
import time:     18577 |      18577 |                     pandas.core.window.online
import time:     58499 |      58499 |                     pandas.core.window.rolling
import time:   1904627 |    2565254 |                   pandas.core.window.ewm
import time:     21768 |      21768 |                   pandas.core.window.expanding
import time:    540561 |    3127582 |                 pandas.core.window
import time:   1548873 |   16106250 |               pandas.core.generic
import time:     20521 |      20521 |               pandas.core.methods.selectn
import time:     20971 |      20971 |                 pandas.core.reshape.util
import time:     21756 |      21756 |                 pandas.core.tools.numeric
import time:    528690 |     571416 |               pandas.core.reshape.melt
import time:     41571 |      41571 |                 pandas._libs.reshape
import time:     27241 |      27241 |                 pandas.core.indexes.accessors
import time:     20854 |      20854 |                   pandas.arrays
import time:    191917 |     212771 |                 pandas.core.tools.datetimes
import time:     24891 |      24891 |                 pandas.io.formats.info
import time:     24948 |      24948 |                   pandas.plotting._core
import time:     20564 |      20564 |                   pandas.plotting._misc
import time:    416626 |     462138 |                 pandas.plotting
import time:   1021384 |    1789993 |               pandas.core.series
import time:    757751 |   19245929 |             pandas.core.frame
import time:     38569 |      38569 |             pandas.core.groupby.base
import time:     47988 |      47988 |               pandas._libs.groupby
import time:     20801 |      20801 |                 pandas.core.groupby.categorical
import time:    361389 |     382190 |               pandas.core.groupby.grouper
import time:    437653 |     867830 |             pandas.core.groupby.ops
import time:     19625 |      19625 |               pandas.core.groupby.numba_
import time:     23404 |      23404 |               pandas.core.groupby.indexing
import time:    417988 |     461016 |             pandas.core.groupby.groupby
import time:    936525 |   22269349 |           pandas.core.groupby.generic
import time:    326515 |   22595863 |         pandas.core.groupby
import time:   1827034 |   65022644 |       pandas.core.api
import time:     20914 |      20914 |       pandas.tseries.api
import time:     16604 |      16604 |               pandas.core.computation.common
import time:    187876 |     204480 |             pandas.core.computation.align
import time:      3689 |       3689 |                 pprint
import time:    168445 |     172134 |               pandas.core.computation.scope
import time:    217520 |     389653 |             pandas.core.computation.ops
import time:    463993 |    1058125 |           pandas.core.computation.engines
import time:     17759 |      17759 |             pandas.core.computation.parsing
import time:    322484 |     340243 |           pandas.core.computation.expr
import time:    428475 |    1826842 |         pandas.core.computation.eval
import time:    182148 |    2008990 |       pandas.core.computation.api
